epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1528.57,0.83852,2.33346,1.32835,0.6121,0.55621,0.51945,0.34301,0.98277,2.20839,1.48163,0.000330918,0.000330918,0.000330918
2,2308.25,0.97087,1.87782,1.41567,0.66791,0.42997,0.42889,0.23804,1.27354,2.69226,1.81437,0.000631371,0.000631371,0.000631371
